Feature,CompGroup.C.,BaseGroup.B.,NumSamplesInC,NumSamplesInB,SignedFC,Tstatistic,Parameter,Pvalue,X95.Conf.Int.1,X95.Conf.Int.2,MeanC,MeanB,NullValue.DifferenceInMeans,Alternative,Method,FDR
1,219953_s_at|AKIP1,Severe,Moderate,7,8,1.49241860447397,5.06894082264977,11.8706442842739,0.000285105808203374,0.329056145114976,0.826248354885024,3.308821,2.73116875,0,two.sided,Welch Two Sample t-test,0.993989432083415
2,212318_at|TNPO3,Severe,Moderate,7,8,1.44128062959573,5.16578270700829,10.081813106502,0.000410804401961212,0.300140654366095,0.754561881348191,3.63689114285714,3.109539875,0,two.sided,Welch Two Sample t-test,0.993989432083415
3,241495_at|CCNL1,Severe,Moderate,7,8,1.21387475192369,4.69452341078778,12.9643895503365,0.000422411402050628,0.150905744780503,0.40833339807664,5.17859957142857,4.89898,0,two.sided,Welch Two Sample t-test,0.993989432083415
4,215224_at|SNORA21,Severe,Moderate,7,8,-1.56629932895325,-4.51557515165805,12.9999694052477,0.000580517348891217,-0.957073864439491,-0.337646028417652,1.76341042857143,2.410770375,0,two.sided,Welch Two Sample t-test,0.993989432083415
5,228660_x_at|SEMA4F,Severe,Moderate,7,8,-1.3210361174094,-4.42067411032825,12.8737972062728,0.00070687727025406,-0.598160442680388,-0.205179378748183,2.24101871428571,2.642688625,0,two.sided,Welch Two Sample t-test,0.993989432083415
6,207996_s_at|LDLRAD4,Severe,Moderate,7,8,-1.77435069066797,-4.44622340367225,12.5584689254127,0.000715716586437304,-1.23070376831831,-0.423878588824545,2.49917457142857,3.32646575,0,two.sided,Welch Two Sample t-test,0.993989432083415
7,204291_at|ZNF518A,Severe,Moderate,7,8,-1.43956214593569,-4.55387362334755,10.5665480420234,0.000913827678253459,-0.780955675762036,-0.270304467095107,1.75407742857143,2.2797075,0,two.sided,Welch Two Sample t-test,0.993989432083415
8,206035_at|REL,Severe,Moderate,7,8,1.7168164911246,4.85695888940657,8.91909093039126,0.000923255458061492,0.416066475549658,1.14340520302177,4.45718971428571,3.677453875,0,two.sided,Welch Two Sample t-test,0.993989432083415
9,1553442_a_at|CNTNAP4,Severe,Moderate,7,8,-1.64553826860899,-4.33727489436832,12.1331044478763,0.000942220813261927,-1.0790864274258,-0.358032728859911,4.51219240085714,5.230751979,0,two.sided,Welch Two Sample t-test,0.993989432083415
10,225963_at|KLHL42,Severe,Moderate,7,8,1.54533825534283,4.24685861972387,12.9114801526801,0.000966887239620579,0.308276877667917,0.947568443760654,3.80848128571429,3.180558625,0,two.sided,Welch Two Sample t-test,0.993989432083415
11,204849_at|TCFL5,Severe,Moderate,7,8,-1.72623059447155,-4.30240501055424,12.1307497051592,0.00100282799016857,-1.18601602069343,-0.389234372163717,3.08030742857143,3.867932625,0,two.sided,Welch Two Sample t-test,0.993989432083415
12,222512_at|NUB1,Severe,Moderate,7,8,-1.53531242963616,-4.27526172620933,11.9420848701359,0.00108963677137381,-0.933926121402115,-0.30313841431217,6.10942485714286,6.727957125,0,two.sided,Welch Two Sample t-test,0.993989432083415
13,1556328_at|PCDH10,Severe,Moderate,7,8,-1.38604846919612,-4.29074063031958,11.7738950418111,0.00109451189311258,-0.710647794723872,-0.231307622168985,1.56672622142857,2.037703929875,0,two.sided,Welch Two Sample t-test,0.993989432083415
14,228499_at|PFKFB4,Severe,Moderate,7,8,-1.51816185383624,-4.26427395626082,11.9310320143584,0.00111323704863451,-0.91027876418682,-0.294372450098895,2.25474114285714,2.85706675,0,two.sided,Welch Two Sample t-test,0.993989432083415
15,225720_at|SYNPO2,Severe,Moderate,7,8,-1.62741627257802,-4.1814659929061,12.7491788348284,0.00112080007428157,-1.06630266485963,-0.338863977997513,5.14638642857143,5.84896975,0,two.sided,Welch Two Sample t-test,0.993989432083415
16,221484_at|B4GALT5,Severe,Moderate,7,8,1.42345476053253,4.11373400250542,12.649619994171,0.00129053584463964,0.241126698805603,0.777666586908682,7.76557114285714,7.2561745,0,two.sided,Welch Two Sample t-test,0.993989432083415
17,202986_at|ARNT2,Severe,Moderate,7,8,1.31221789761257,4.2665125442011,10.8917875263599,0.00135813298759446,0.189535318102577,0.59447928904028,6.03837042857143,5.646363125,0,two.sided,Welch Two Sample t-test,0.993989432083415
18,201671_x_at|USP14,Severe,Moderate,7,8,-1.28439494561623,-4.09034692570543,12.1004850354643,0.00147300756963116,-0.553253795652235,-0.168923990062052,5.12787685714286,5.48896575,0,two.sided,Welch Two Sample t-test,0.993989432083415
19,229886_at|C5orf34,Severe,Moderate,7,8,-1.36795248978199,-4.08221681028308,12.1823637596499,0.00147461393297469,-0.692875064837385,-0.211161185162615,1.843184,2.295202125,0,two.sided,Welch Two Sample t-test,0.993989432083415
20,227721_at|CPAMD8,Severe,Moderate,7,8,1.5652674431987,4.02239912937772,12.8399072803425,0.00148452148578459,0.298792217097967,0.99402614004489,4.25065742857143,3.60424825,0,two.sided,Welch Two Sample t-test,0.993989432083415
21,223127_s_at|C1orf21,Severe,Moderate,7,8,1.36246644214958,4.02558410452083,12.7125362233906,0.00150432428193218,0.206200423594335,0.686240969262808,4.31793157142857,3.871710875,0,two.sided,Welch Two Sample t-test,0.993989432083415
22,243151_at|ANKRD42-DT,Severe,Moderate,7,8,1.72059329996525,4.06697688654478,11.7387906972829,0.00163234340142695,0.362440188337638,1.20337206166236,3.194545,2.411638875,0,two.sided,Welch Two Sample t-test,0.993989432083415
23,236138_at|LMBRD2,Severe,Moderate,7,8,-1.64396522941992,-4.02079215669272,12.1848612816998,0.00164733822414578,-1.10515687992175,-0.329202691506827,2.05598871428571,2.7731685,0,two.sided,Welch Two Sample t-test,0.993989432083415
24,217960_s_at|TOMM22,Severe,Moderate,7,8,1.34952148600585,4.06236784047975,11.3648976635531,0.00175610656726476,0.199062822296292,0.66583307056085,4.01821357142857,3.585765625,0,two.sided,Welch Two Sample t-test,0.993989432083415
25,209208_at|MPDU1,Severe,Moderate,7,8,1.29684143271272,3.91360490854269,12.9756474347048,0.0017858092795554,0.167955806881913,0.582048371689516,2.92115671428571,2.546154625,0,two.sided,Welch Two Sample t-test,0.993989432083415
26,219802_at|PYROXD1,Severe,Moderate,7,8,-1.74493669372129,-3.96975900006196,12.0276437756949,0.00185221267292538,-1.24388692991233,-0.362462462944818,4.58593442857143,5.389109125,0,two.sided,Welch Two Sample t-test,0.993989432083415
27,1562310_at|LINC01813,Severe,Moderate,7,8,1.1277337502025,3.90006152353886,12.5837296210892,0.00193578800923978,0.0770359774668177,0.269817018640325,1.64651756142857,1.473091063375,0,two.sided,Welch Two Sample t-test,0.993989432083415
28,220317_at|LRAT,Severe,Moderate,7,8,1.38160639017358,4.00769723033863,11.3408740644814,0.00193928459620507,0.211170061157433,0.721523260271138,2.31083528571429,1.844488625,0,two.sided,Welch Two Sample t-test,0.993989432083415
29,214276_at|KLF12,Severe,Moderate,7,8,1.4098696168649,4.13639219479011,10.1074363624082,0.00197798238926394,0.229002996657228,0.762120503342771,5.322466,4.82690425,0,two.sided,Welch Two Sample t-test,0.993989432083415
30,1563662_at|LYRM4-AS1,Severe,Moderate,7,8,1.22055918472643,4.08669855812073,10.5033979350992,0.0019789061993775,0.131781760617949,0.443302745132051,3.633971747,3.346429494125,0,two.sided,Welch Two Sample t-test,0.993989432083415
31,214831_at|ELK4,Severe,Moderate,7,8,-1.54768600157134,-3.84061458459959,12.939649300958,0.00206006614984909,-0.984723139667193,-0.275502467475664,2.87435757142857,3.504470375,0,two.sided,Welch Two Sample t-test,0.993989432083415
32,244677_at|PER1,Severe,Moderate,7,8,1.47442422357989,4.2291060494465,8.90370385150137,0.00226349870187204,0.260030739034316,0.860272618108541,4.42508542857143,3.86493375,0,two.sided,Welch Two Sample t-test,0.993989432083415
33,226526_s_at|CKAP4,Severe,Moderate,7,8,-1.48915280931604,-3.83341233565627,11.9054217280555,0.00241409788930383,-0.901306074137378,-0.247677533005479,2.74086057142857,3.315352375,0,two.sided,Welch Two Sample t-test,0.993989432083415
34,243674_at|LOC102723678,Severe,Moderate,7,8,1.25989639990119,3.7838762233599,12.4078875864234,0.00246139192804714,0.14208042282965,0.524529791456065,5.74947485714286,5.41616975,0,two.sided,Welch Two Sample t-test,0.993989432083415
35,221050_s_at|GTPBP2,Severe,Moderate,7,8,-1.28376281538728,-3.76344403014114,12.6278436397911,0.00248270143714631,-0.567872039020357,-0.152885318122499,4.11395457142857,4.47433325,0,two.sided,Welch Two Sample t-test,0.993989432083415
36,242577_at|LOC389834,Severe,Moderate,7,8,-1.72772284426721,-3.76840106000432,12.4882282758947,0.00250583992729647,-1.24301156386176,-0.334732043281101,2.76121057142857,3.550082375,0,two.sided,Welch Two Sample t-test,0.993989432083415
37,232442_at|BCAR1,Severe,Moderate,7,8,1.21922326654719,4.07404513566643,9.45129433520492,0.00251292359475093,0.128326951045897,0.443597727525531,2.80368171428571,2.517719375,0,two.sided,Welch Two Sample t-test,0.993989432083415
38,234589_at|TMEM106A,Severe,Moderate,7,8,1.28331009553437,3.69947499699827,12.9989777355464,0.00267305172762442,0.149716300079824,0.570023342777319,2.96378357142857,2.60391375,0,two.sided,Welch Two Sample t-test,0.993989432083415
39,235882_at|VPS53,Severe,Moderate,7,8,-1.54032219955677,-3.95252283099464,10.0513569937077,0.00269224136152778,-0.974320997429578,-0.272143323998994,2.10588571428571,2.729117875,0,two.sided,Welch Two Sample t-test,0.993989432083415
40,230211_at|TRIP11,Severe,Moderate,7,8,-1.36956204437961,-3.8670679718455,10.7588751197487,0.00272956691872214,-0.712659271750618,-0.194769978249382,1.719363,2.173077625,0,two.sided,Welch Two Sample t-test,0.993989432083415
41,212203_x_at|IFITM3,Severe,Moderate,7,8,1.61714991622001,3.90623773026261,10.2300359478243,0.00280763311490604,0.299106213336448,1.08780064380641,5.01247142857143,4.319018,0,two.sided,Welch Two Sample t-test,0.993989432083415
42,218095_s_at|TMEM165,Severe,Moderate,7,8,1.51597079905623,3.69868855668368,12.5139534297691,0.00284422039958838,0.248257086702003,0.952226841869426,3.91506571428571,3.31482375,0,two.sided,Welch Two Sample t-test,0.993989432083415
43,229084_at|CNTN4,Severe,Moderate,7,8,-1.44423983369782,-3.69427338290673,12.4750608872853,0.00288209029392031,-0.84176149951386,-0.218859179057568,2.87568228571429,3.405992625,0,two.sided,Welch Two Sample t-test,0.993989432083415
44,216677_at|ZNF154,Severe,Moderate,7,8,1.69461536741638,3.76354309588249,11.4649107401296,0.00292070182235566,0.318128373225208,1.20378734106051,3.07376785714286,2.31281,0,two.sided,Welch Two Sample t-test,0.993989432083415
45,202018_s_at|LTF,Severe,Moderate,7,8,1.82527222018781,3.99525870571919,9.30327321186913,0.00293100743115967,0.379009483840994,1.35721380187329,3.97431314285714,3.1062015,0,two.sided,Welch Two Sample t-test,0.993989432083415
46,231064_s_at|NUP50,Severe,Moderate,7,8,-1.8495933616453,-3.97495379411346,9.43122427620898,0.00294348198335989,-1.38862338093191,-0.385792869068093,3.282559,4.169767125,0,two.sided,Welch Two Sample t-test,0.993989432083415
47,224982_at|AKT1S1,Severe,Moderate,7,8,1.23622741200651,3.69904400568838,12.1295645850996,0.00298867261142137,0.125950032197436,0.485938289231136,5.43195728571429,5.126013125,0,two.sided,Welch Two Sample t-test,0.993989432083415
48,201821_s_at|TIMM17A,Severe,Moderate,7,8,-1.27271285863153,-3.64927142714653,12.8304808454338,0.00300141367754851,-0.554144845052224,-0.141669083519204,2.09528328571429,2.44319025,0,two.sided,Welch Two Sample t-test,0.993989432083415
49,235048_at|FAM169A,Severe,Moderate,7,8,-1.36790589369138,-3.6217493487042,12.8070694652288,0.00317110400501033,-0.721981307216193,-0.18195665706952,4.77410714285714,5.226076125,0,two.sided,Welch Two Sample t-test,0.993989432083415
50,224282_s_at|AGPAT3,Severe,Moderate,7,8,1.29505415547678,3.68916830631903,11.7610907221551,0.00319874159457323,0.152214944502432,0.593809912640426,5.64788742857143,5.274875,0,two.sided,Welch Two Sample t-test,0.993989432083415
51,1562949_at|LINC00358,Severe,Moderate,7,8,1.15691916144118,3.74263578420126,11.0916271841311,0.00320575612158971,0.0867454923344333,0.333830629879852,1.46723076685714,1.25694270575,0,two.sided,Welch Two Sample t-test,0.993989432083415
52,202861_at|PER1,Severe,Moderate,7,8,1.32632003072921,3.81072673970952,10.3236658677881,0.00323458705809297,0.170213004137468,0.644644853005389,3.33434042857143,2.9269115,0,two.sided,Welch Two Sample t-test,0.993989432083415
53,205461_at|RAB35,Severe,Moderate,7,8,1.47858259837045,3.86630175584432,9.77120684515405,0.0032655998951736,0.238024448052235,0.890405230519194,5.23211371428571,4.667898875,0,two.sided,Welch Two Sample t-test,0.993989432083415
54,229588_at|DNAJC10,Severe,Moderate,7,8,-1.61489185371954,-3.59019822944058,12.9992082374248,0.00329332160701606,-1.10750629738327,-0.275368809759583,2.50397057142857,3.195408125,0,two.sided,Welch Two Sample t-test,0.993989432083415
55,232752_at|LOXL1-AS1,Severe,Moderate,7,8,-1.39364738461786,-3.54422300167459,12.9708572131343,0.00360757538519423,-0.770823092159652,-0.186908072126062,1.38074354285714,1.859609125,0,two.sided,Welch Two Sample t-test,0.993989432083415
56,223707_at|RPL27A,Severe,Moderate,7,8,-2.03044680650969,-3.54348611111792,12.9578661008884,0.00361786139684993,-1.64496563481065,-0.398628829475062,2.59683714285714,3.618634375,0,two.sided,Welch Two Sample t-test,0.993989432083415
57,215460_x_at|BRD1,Severe,Moderate,7,8,1.38881076510221,3.83981472150547,9.31513401745338,0.00372199706555659,0.196122888807451,0.75157718262112,6.27850628571429,5.80465625,0,two.sided,Welch Two Sample t-test,0.993989432083415
58,212170_at|RBM12,Severe,Moderate,7,8,-1.48296265557563,-3.75030617197455,10.0102180901507,0.00377518633969947,-0.90618328014587,-0.230781255568414,4.01037985714286,4.578862125,0,two.sided,Welch Two Sample t-test,0.993989432083415
59,221197_s_at|CHAT,Severe,Moderate,7,8,1.35571468424228,3.61336485573985,11.4343121116564,0.00383371642954111,0.172849916372783,0.705257262198645,3.24014771428571,2.801094125,0,two.sided,Welch Two Sample t-test,0.993989432083415
60,223163_s_at|ZC3HC1,Severe,Moderate,7,8,1.25907394788461,3.52138922909558,12.7960490839784,0.00384185013342958,0.128127789368918,0.536598246345367,3.04432814285714,2.711965125,0,two.sided,Welch Two Sample t-test,0.993989432083415
61,212849_at|AXIN1,Severe,Moderate,7,8,1.18746371375491,3.69133752317686,10.3419923237922,0.00393869930474176,0.0989257720153519,0.396841085127506,2.33503042857143,2.087147,0,two.sided,Welch Two Sample t-test,0.993989432083415
62,208973_at|ERI3,Severe,Moderate,7,8,1.31937201605088,3.51533142343001,12.655108837786,0.00394781133361407,0.153437751215228,0.646265070213344,4.24871728571429,3.848865875,0,two.sided,Welch Two Sample t-test,0.993989432083415
63,212350_at|TBC1D1,Severe,Moderate,7,8,1.19345480053979,3.48892647703684,12.9551579452904,0.00401719530103256,0.0971013453939501,0.413186511748907,2.92248542857143,2.6673415,0,two.sided,Welch Two Sample t-test,0.993989432083415
64,218219_s_at|LANCL2,Severe,Moderate,7,8,-1.27666317566988,-3.53605378315806,12.1336122840402,0.00403469991736128,-0.569238042224453,-0.13551785063269,5.88254642857143,6.234924375,0,two.sided,Welch Two Sample t-test,0.993989432083415
65,227687_at|HYLS1,Severe,Moderate,7,8,-1.36530090309506,-3.55363009294824,11.8185280160254,0.00406081639193873,-0.725115258549261,-0.173322634307881,2.83170342857143,3.280922375,0,two.sided,Welch Two Sample t-test,0.993989432083415
66,1555801_s_at|ZNF385B,Severe,Moderate,7,8,-1.75836672740083,-3.48142223845592,12.9614745656877,0.00407260756315185,-1.31965631480838,-0.308815669870194,3.53346463128571,4.347700623625,0,two.sided,Welch Two Sample t-test,0.993989432083415
67,221517_s_at|MED17,Severe,Moderate,7,8,-1.83724828791194,-3.93216209188171,8.03933330808718,0.00430161904291556,-1.39174311876262,-0.363350095523099,2.66627614285714,3.54382275,0,two.sided,Welch Two Sample t-test,0.993989432083415
68,212890_at|SLC38A10,Severe,Moderate,7,8,1.30450407100905,3.4894656367026,12.2949678664008,0.00431698731683403,0.144679791955349,0.622323100901794,3.16994957142857,2.786448125,0,two.sided,Welch Two Sample t-test,0.993989432083415
69,209789_at|CORO2B,Severe,Moderate,7,8,-1.31336463906411,-3.45437650349786,12.6533038234475,0.00443149994717089,-0.639903997467516,-0.146631038246769,6.94230685714286,7.335574375,0,two.sided,Welch Two Sample t-test,0.993989432083415
70,219175_s_at|SLC41A3,Severe,Moderate,7,8,-1.24553721237797,-3.43785412097584,12.9499996371523,0.00443249323215126,-0.515905317441859,-0.11763093255814,3.819729,4.136497125,0,two.sided,Welch Two Sample t-test,0.993989432083415
71,1569129_s_at|C3orf38,Severe,Moderate,7,8,-1.66925144817717,-3.52774490446525,11.4865978707364,0.00443909394528523,-1.19802174953643,-0.280380834177854,5.17832677114286,5.917528063,0,two.sided,Welch Two Sample t-test,0.993989432083415
72,205645_at|REPS2,Severe,Moderate,7,8,-1.19165963822776,-3.42732026521306,12.9915010310136,0.00450376193321331,-0.412440733715793,-0.093503730569922,4.47240114285714,4.725373375,0,two.sided,Welch Two Sample t-test,0.993989432083415
73,1567457_at|RAC1,Severe,Moderate,7,8,-1.32746566593087,-3.4530175929669,12.5015783204664,0.00451659624818563,-0.665400493770144,-0.151948600444142,7.33245598214286,7.74113052925,0,two.sided,Welch Two Sample t-test,0.993989432083415
74,1555608_at|CAPRIN2,Severe,Moderate,7,8,-1.31300869149021,-3.43418387227602,12.8168656697365,0.00452576639028719,-0.640385767824097,-0.145367164604476,3.19861588328571,3.5914923495,0,two.sided,Welch Two Sample t-test,0.993989432083415
75,217564_s_at|CPS1,Severe,Moderate,7,8,-1.69403422002299,-3.80160647564692,8.53139075361222,0.00463993801155865,-1.21679615766591,-0.304129878048375,2.61509285714286,3.375555875,0,two.sided,Welch Two Sample t-test,0.993989432083415
76,1559925_s_at|SLC38A2-AS1,Severe,Moderate,7,8,1.22483844537335,3.48527769128893,11.6025600012096,0.00472334407170588,0.108981294156994,0.476201650128721,2.16645209614286,1.873860624,0,two.sided,Welch Two Sample t-test,0.993989432083415
77,228227_at|ITGB1BP1,Severe,Moderate,7,8,1.39988412234419,3.6797061200984,9.38870751417767,0.00472506489277292,0.188829392002409,0.781785429426162,3.98050228571429,3.495194875,0,two.sided,Welch Two Sample t-test,0.993989432083415
78,228158_at|LSP1P5,Severe,Moderate,7,8,-1.44700846046856,-3.55609722059062,10.6465918964315,0.00473378583190635,-0.864351089530131,-0.201795624755583,4.11801814285714,4.6510915,0,two.sided,Welch Two Sample t-test,0.993989432083415
79,221162_at|HHLA1,Severe,Moderate,7,8,1.25594729919402,3.42628088292433,12.293591900735,0.0048583079397785,0.120255829603981,0.537296027538876,2.51701042857143,2.1882345,0,two.sided,Welch Two Sample t-test,0.993989432083415
80,206948_at|NEU3,Severe,Moderate,7,8,1.39277827739742,3.48862760381849,11.3186808156178,0.00486509723753161,0.177448366838424,0.77848284744729,2.56564485714286,2.08767925,0,two.sided,Welch Two Sample t-test,0.993989432083415
81,233157_x_at|ODAD1,Severe,Moderate,7,8,2.37223211316361,3.38749437338454,12.9625546577008,0.00487574268581747,0.451221027166206,2.04126932997665,6.69580442857143,5.44955925,0,two.sided,Welch Two Sample t-test,0.993989432083415
82,224325_at|FZD8,Severe,Moderate,7,8,-1.59512491959626,-3.83124520521739,8.06469042995585,0.00493381219121922,-1.07858165160497,-0.268757169823596,1.53238871428571,2.206058125,0,two.sided,Welch Two Sample t-test,0.993989432083415
83,206270_at|PRKCG,Severe,Moderate,7,8,1.39927710731595,3.41273229423157,12.3538413186527,0.00495048391848077,0.17622335190454,0.793140040952603,3.92237057142857,3.437688875,0,two.sided,Welch Two Sample t-test,0.993989432083415
84,33850_at|MAP4,Severe,Moderate,7,8,1.27284100133923,3.39333914611229,12.6339057943875,0.0049850395575081,0.12581036142448,0.570294067146949,6.48882771428571,6.1407755,0,two.sided,Welch Two Sample t-test,0.993989432083415
85,207001_x_at|TSC22D3,Severe,Moderate,7,8,1.28516548687219,3.36543205974081,12.9768316882431,0.00507955691096237,0.129563082850064,0.594345202864221,2.96296114285714,2.601007,0,two.sided,Welch Two Sample t-test,0.993989432083415
86,223257_at|G2E3,Severe,Moderate,7,8,-1.38755715264549,-3.51972931780095,10.5521089451835,0.00510831352033063,-0.769581671497485,-0.175512721359657,2.43211242857143,2.904659625,0,two.sided,Welch Two Sample t-test,0.993989432083415
87,210417_s_at|PI4KB,Severe,Moderate,7,8,1.38874922560939,3.63166296984875,9.30935309556924,0.00517318548255205,0.180153671271557,0.767418543014159,4.22696385714286,3.75317775,0,two.sided,Welch Two Sample t-test,0.993989432083415
88,231944_at|ERO1B,Severe,Moderate,7,8,-1.55652727477829,-3.46707020458899,11.086877924514,0.00520800205795879,-1.04317258654004,-0.233489127745679,3.13994714285714,3.778278,0,two.sided,Welch Two Sample t-test,0.993989432083415
89,215847_at|HERC2P3,Severe,Moderate,7,8,-1.71543498220664,-3.43839598948402,11.4702747217559,0.00522488387384675,-1.27447363023586,-0.282675262621284,2.39179442857143,3.170368875,0,two.sided,Welch Two Sample t-test,0.993989432083415
90,1561553_at|WARS2-AS1,Severe,Moderate,7,8,-1.158646265824,-3.4852899599583,10.7327986111389,0.00528689696865696,-0.347006271944207,-0.0778740869129357,1.51401083157143,1.726451011,0,two.sided,Welch Two Sample t-test,0.993989432083415
91,213737_x_at|GOLGA8N,Severe,Moderate,7,8,-1.88502192468201,-3.40934125113786,11.7812846127082,0.00530963161762228,-1.50026986569216,-0.328892741450694,4.62993857142857,5.544519875,0,two.sided,Welch Two Sample t-test,0.993989432083415
92,219696_at|DENND1B,Severe,Moderate,7,8,-1.25506815858857,-3.45445578135213,11.0509036533729,0.00535028639831407,-0.536482310469672,-0.119049118101757,1.55096928571429,1.878735,0,two.sided,Welch Two Sample t-test,0.993989432083415
93,223754_at|C2orf88,Severe,Moderate,7,8,1.67339100964182,3.44022889611815,11.0505552979197,0.00548685197401568,0.267828343350695,1.21772083522073,3.39655071428571,2.653776125,0,two.sided,Welch Two Sample t-test,0.993989432083415
94,204520_x_at|BRD1,Severe,Moderate,7,8,1.45242263761796,3.53210541170392,9.92150603902535,0.00549381809284988,0.198422077006048,0.878500565851094,6.35221357142857,5.81375225,0,two.sided,Welch Two Sample t-test,0.993989432083415
95,210475_at|POU3F1,Severe,Moderate,7,8,1.22708970061655,3.50366282234553,10.1861581452999,0.00553580903349694,0.107947769470679,0.482533659100749,4.23584371428571,3.940603,0,two.sided,Welch Two Sample t-test,0.993989432083415
96,1552314_a_at|EYA3,Severe,Moderate,7,8,1.23983595791143,3.34088241014684,12.5430645202586,0.00555673212566564,0.108847210305016,0.511451291623556,2.24739076371429,1.93724151275,0,two.sided,Welch Two Sample t-test,0.993989432083415
97,213643_s_at|INPP5B,Severe,Moderate,7,8,-1.29973087667057,-3.31547643600222,12.9498690765354,0.00560553805914703,-0.624753967587103,-0.131671889555754,2.32975157142857,2.7079645,0,two.sided,Welch Two Sample t-test,0.993989432083415
